,MPr1,MPr2,MPr3,MPr4,MPr5,MPr6,MIn1,MIn2,MIn3,MIn4,MIn5,MIn6
DG(16:1/18:3),-1.203066248,-0.689563394,1.033950698,0.02462778,-16.60964047,-0.188194385,-0.514923164,0.644186323,-16.60964047,-0.211541818,1.145408535,0.444981337
DG(16:1/20:0),-0.298783613,0.981959112,1.397298239,2.916515964,0.610554758,-16.60964047,2.241616263,1.078465601,-16.60964047,0.815954764,0.935258212,1.743353889
DG(16:1/20:1),0.155380712,1.769534086,1.955648535,1.141906264,0.690726045,1.072483699,0.48206271,0.610855971,-16.60964047,0.603995277,1.284475285,0.836990552
DG(16:1/20:2),-0.22643537,1.183190339,1.105387551,1.549706097,0.292591507,1.144235821,0.627675535,1.545166526,-0.372311847,-1.835882855,1.591592188,0.709841988
DG(16:1/20:3),-1.041123631,0.713709685,0.780013732,0.646816457,-0.532035009,0.417204295,-0.047759406,-0.335515603,-16.60964047,-0.215165963,1.045461163,0.560421503
DG(16:1/20:4),-1.307798191,-0.280173259,-0.313362266,0.397464784,-0.56292206,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-1.595266206,2.16847758,-0.977326886
DG(16:1/20:5),-0.355296249,-16.60964047,-16.60964047,2.253888739,-0.208027344,-16.60964047,-0.002576864,-16.60964047,-16.60964047,-16.60964047,-0.04050966,-16.60964047
DG(16:1/22:0),-16.60964047,1.384752596,1.126423773,2.103515923,0.716327861,1.628882492,1.511439137,2.191123143,-16.60964047,1.267794386,1.055906194,1.586954927
DG(16:1/22:1),-16.60964047,-16.60964047,0.20333816,-1.022728395,0.294220503,-0.687563854,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(16:1/22:2),-0.079779474,-16.60964047,-16.60964047,-16.60964047,-0.382506225,-16.60964047,-0.359527841,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(16:1/22:4),0.478125863,1.789389058,1.260216554,4.332819147,0.328057146,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,0.274747867,-16.60964047
DG(16:1/22:5),-0.030420734,1.497235441,1.680162061,1.545184292,-16.60964047,0.920836266,-16.60964047,1.113786047,-16.60964047,0.739322431,1.391464091,1.97273237
DG(16:1/22:6),-16.60964047,1.999720109,2.242577942,2.781768677,-16.60964047,2.013181787,3.61485581,0.725174879,-16.60964047,2.637872756,3.096290551,2.502977438
DG(18:0/18:0),-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,2.016394543,-16.60964047,-16.60964047
DG(18:0/18:1),0.895337005,1.982441913,3.137012156,0.546625178,-16.60964047,2.163506535,1.439758696,1.39326586,1.591912334,2.189720607,2.399055168,0.452333377
DG(18:0/18:2),0.53929376,-16.60964047,1.524403256,-0.518362563,-16.60964047,-16.60964047,0.625399633,1.318220474,-16.60964047,-0.221454392,1.153818899,-16.60964047
DG(18:0/20:0),0.155918708,-0.240901007,1.509757032,-0.060291225,-16.60964047,0.518672846,2.438721777,3.047959011,1.404399463,1.781788432,1.563623509,1.800028102
DG(18:0/20:1),0.122656028,-16.60964047,-16.60964047,-16.60964047,0.666037539,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(18:0/20:2),0.23718281,0.060575975,0.036023886,1.041211781,0.812621574,0.39686371,2.816119256,0.386912644,0.901894418,-0.926303102,0.744596002,-0.183042089
DG(18:0/20:3),-0.009061617,1.423092522,1.815352717,1.739175167,1.111595756,0.453995898,2.212987218,0.996168992,1.646322402,1.97671493,2.107541107,2.191252579
DG(18:0/20:4),0.42673201,2.570935767,2.496315176,2.034549681,0.798049007,2.312316948,1.935290598,0.866314735,2.552090513,3.09598995,4.229675438,3.228402188
DG(18:0/20:5),-0.628421005,-16.60964047,-16.60964047,-1.312075484,-16.60964047,-16.60964047,0.625411466,-16.60964047,0.221500549,-1.120542904,-16.60964047,-1.049492348
DG(18:0/22:0),-0.258825521,0.716019615,-16.60964047,-16.60964047,-0.427878453,-0.516776902,-0.136632767,-0.994633065,-0.416461486,-16.60964047,0.307383845,-16.60964047
DG(18:0/22:1),1.49582744,-16.60964047,-16.60964047,-16.60964047,1.100330443,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(18:0/22:2),-0.956153774,0.454726926,-0.743368816,-1.32336085,0.615893446,-0.351269679,-0.144500545,-0.974366254,-16.60964047,-1.761159385,-0.37103223,-1.448874296
DG(18:0/22:4),-0.477491026,-16.60964047,0.100454027,-1.077783302,1.171122728,-0.548898566,0.218190482,-16.60964047,-16.60964047,0.814928675,0.532426186,2.303552155
DG(18:0/22:6),-16.60964047,4.310701217,-16.60964047,4.797121344,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,3.817755562,3.77243301
DG(18:1/18:1),3.594711797,4.713153291,5.608617268,4.227055392,1.489999367,5.120041628,4.081570801,4.1280621,2.362364581,3.726020589,3.239166084,4.136789508
DG(18:1/18:2),0.394089422,1.628560237,1.866135038,1.875202438,0.349419817,1.794344945,0.950355925,1.115291529,0.629212273,1.371255788,2.014009548,1.624276597
DG(18:1/18:3),1.51745377,-16.60964047,0.364915281,1.402898038,-16.60964047,0.51534325,-16.60964047,-16.60964047,-16.60964047,1.050943581,1.187160916,1.136905844
DG(18:1/20:0),0.088431407,1.198060689,1.835455414,1.464136902,1.467061997,1.718931877,4.240159772,1.803499654,2.441535408,1.66583845,2.1843341,2.355799282
DG(18:1/20:1),0.476440334,0.775014897,2.61137383,0.07705767,-0.107548813,0.896953138,1.187915821,0.589078696,-0.163558262,-0.570522207,-0.030668784,0.904811416
DG(18:1/20:2),-0.721331624,0.485035304,1.214140008,0.825903791,0.079209995,-0.195847123,1.026993903,0.188014836,-0.336211878,-0.865815944,0.093637646,0.696376398
DG(18:1/20:3),0.099740768,1.285954324,1.323554312,0.824481342,0.429878076,0.722737741,1.527059389,-0.629161756,-0.023847983,0.298191377,1.537195949,1.450557918
DG(18:1/20:4),0.394709328,1.949351558,0.450971323,1.804491778,0.274834948,2.037558311,1.229853759,0.079366918,0.745841285,1.205321475,3.159981567,0.609778475
DG(18:1/20:5),-0.757067917,0.691916127,0.097875863,-1.592405077,-0.14020889,1.035109616,0.00821525,0.383867095,0.139887981,0.46583844,1.396694155,1.761714848
DG(18:1/22:0),-1.070951061,1.547206003,1.661969319,0.12735779,-0.374848938,0.6209749,0.361129312,1.043102861,0.011204547,-0.223366971,0.111627786,-0.213841233
DG(18:1/22:1),-16.60964047,0.876840728,0.987865902,2.655571059,-16.60964047,-0.479784951,1.499669118,0.04820762,-16.60964047,0.410537685,1.247564903,1.072438269
DG(18:1/22:2),-0.325387935,0.92635912,0.888273972,0.182308936,0.338757262,-0.386359393,-0.256234981,-0.174268594,-0.73573636,-0.363588588,0.226152897,0.598388543
